,Date,Likert_algorithms:Ik_weet_waar_en_hoe_vaak_een_alg,Likert_algorithms:Ik_kan_herkennen_wanneer_NU_nl_e,Likert_algorithms:Ik_begrijp_waarom_bepaalde_artik,Likert_algorithms:De_selectie_van_nieuwsartikelen_,Likert_algorithms:Ik_denk_dat_het_personalisatie-a,text,text1,Likert_transparentie:Het_is_voor_mij_belangrijk_om_te,Likert_transparentie:Ik_wil_graag_meer_inzicht_krijge,Likert_transparentie:Ik_wil_graag_weten_welke_gegeven,Likert_transparentie:Ik_wil_graag_begrijpen_met_welk_,Likert_transparentie:Ik_vind_dat_NU_nl_duidelijker_zo,Hoe_kun_je_herkennen_of_een_nieu,Likert_controle:Ik_wil_graag_de_mogelijkheid_heb,Likert_controle:Ik_vind_het_belangrijk_dat_ik_op,Likert_controle:Ik_vind_het_belangrijk_om_aan_te,Likert_controle:Ik_vind_het_belangrijk_om_mijn_v,Likert_controle:Ik_vind_het_belangrijk_dat_ik_ka,In_welke_situaties_zou_je_ervoor,Likert_personalisatie_curatie:Ik_vind_dat_algoritmes_mij_helpe,Likert_personalisatie_curatie:Ik_geef_de_voorkeur_aan_aanbevel,Likert_personalisatie_curatie:Ik_denk_dat_een_algoritme_beter_,Likert_personalisatie_curatie:Ik_geloof_dat_aanbevelingen_door,Likert_personalisatie_curatie:Ik_waardeer_dat_algoritmes_mij_m,Likert_curatie_concerns:Ik_ben_bezorgd_dat_algoritmes_er,Likert_curatie_concerns:Ik_vind_het_belangrijk_dat_mense,Likert_curatie_concerns:Ik_vertrouw_aanbevelingen_van_ee,Likert_curatie_concerns:Algoritmes_zijn_te_beperkt_om_te,Hoe_belangrijk_vind_je_personali,Hoe_vaak_klik_je_op_nieuwsartike,Hoe_vaak_blijf_je_ingelogd_op_NU,Hoeveel_tijd_besteed_je_gemiddel,Heb_je_toestemming_gegeven_voor_,Welke_cookies_heb_je_geaccepteer,Wat_is_jouw_leeftijd_,Geef_aan_op_een_schaal_van_1_tot:Ik_ben_bezorgd_dat_algoritmes_er,Geef_aan_op_een_schaal_van_1_tot:Ik_vind_het_belangrijk_dat_mense,Geef_aan_op_een_schaal_van_1_tot:Ik_vertrouw_aanbevelingen_van_ee,Geef_aan_op_een_schaal_van_1_tot:Algoritmes_zijn_te_beperkt_om_te,Geef_aan_op_een_schaal_van_1_tot:Ik_denk_dat_menselijke_redacteur,URL,Location,Total Time,Device type,Browser,System,IP
1751,2024-11-01 15:55:38,1,1,1,1,1,advertenties,obv oa kliks en verblijftijd 'relevante' items selecteren,5,5,5,5,5,door een melding,5,5,5,5,5,privacy. adverteerders hoeven mijn nieuwsvoorkeuren niet te kennen,3,1,5,5,2,,,,,niet per se. ik ben abonnee van de correspondent. daarna volg ik bepaalde thema's en correspondenten. Die bevelen items aan. Enndat vind ik meer vertrouwenwekkend,3,Ik_log_nooit_in_op_NU_nl,15_tot_30_minuten,Nee,,44,3,5,5,2,5,,,378s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1752,2024-11-01 15:51:27,1,1,3,1,1,Zou niet weten,Weet ik echt niet,3,5,5,5,5,Zou niet weten hoe je dat moet zien,1,5,1,1,1,Waarom personalisatie nieuws is toch nieuws,1,1,1,1,1,,,,,Beïnvloed mij niet,5,Ik_log_alleen_in_wanneer_het_nod,15_tot_30_minuten,Ja,Alle_cookies_inclusief_marketing,67,5,5,5,5,5,,,404s,Mobile Phone,Safari 17.6.0,iOS,
1753,2024-11-01 15:43:04,3,4,2,2,4,Bij nieuwsrubriek 'voor jou',Onderzoekt interessegebieden door reeds gelezen artikelen.,3,4,3,2,3,Opvallend zijn artikelen die interessant zijn maar ondertussen een verouderde nieuwswaarde hebben omdat ze reeds enige tijd geleden zijn gepubliceerd.,5,3,5,5,4,Als personalisatie de plank misslaat door nieuwsonderwerpen te bieden waar ik geen interesse in heb.,4,3,3,4,5,,,,,Ik vind personalisatie heel belangrijk. Enige tijd geleden kreeg ik dagelijk nog sportnieuwsgelijks nog sportnieuws te zien in 'voor jou' terwijl ik nog nimmer een sportartikelen gelezen had.,4,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Alle_cookies_inclusief_marketing,38,2,3,4,3,2,,,1080s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1754,2024-11-01 15:41:03,2,2,2,2,1,"Aanbod, interesse, lokaal nieuws, etc","Op basis van freq, tijd, duur, doorklikken, interesses, locatie,…",4,4,4,4,5,"Komt bovenaan te staan, suggesties",4,5,3,3,4,"Impact van artikel, populariteit, regio, locatie, gedeeld apparaat",3,3,3,4,4,,,,,Geen mening,3,Ik_ben_altijd_ingelogd,30_tot_60_minuten,Nee,,50,5,3,3,2,3,,,785s,Desktop,Safari 17.6.0,MacOSX,
1755,2024-11-01 15:33:21,1,1,1,1,1,?,?,5,5,5,5,5,?,5,5,1,5,1,?,1,5,1,1,1,,,,,?,1,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Alle_cookies_inclusief_marketing,65,5,5,5,5,5,,,349s,Mobile Phone,Safari 18.0.1,iOS,
1756,2024-11-01 15:19:46,2,2,5,2,3,Aanbevolen nieuws en reclame,Ik denk dat personalisatie hier zeer beperkt is. Er zal wel bijgehouden w9rden wat voor artikelen ik veel lees en waar ik op reageer.,2,4,3,3,3,Op nu.nl merk ik het niet,5,4,4,3,4,"Ik zou het meestal uitzetten, omdat er door personalisatie ook dingen uitgefilterd kunnen worden die ik wel wil lezen.",2,1,2,1,2,,,,,"Personalisatie is belangrijk,  maar dan wil ik wel zelf mijn interesses aan kunnen geven. Ik volg graag snooker, maar nu kan ik artikelen missen omdat het sportdeel op de voorpagina vol staat met voetbal en formule 1.",4,Ik_ben_altijd_ingelogd,Meer_dan_60_minuten,Weet_ik_niet,,56,5,5,5,5,5,,,1233s,Tablet,Chrome 0.0.0,Android,
1757,2024-11-01 15:18:05,3,3,4,2,3,Niet zeker,AI,5,5,5,4,4,Geen idee,5,2,4,4,4,"Politiek, ik wil geen mening opgedrongen krijgen",1,3,4,3,3,,,,,Hamas wordt ond door de strot geduwd,4,Ik_blijf_meestal_ingelogd_tijden,30_tot_60_minuten,Nee,,78,3,5,5,4,5,,,345s,Tablet,Safari 17.6.0,iOS,
1758,2024-11-01 15:12:13,3,4,2,1,1,Vooral in de reklameteksten voor nu.nl zelf,"Kijk/leesgedrag wordt vastgelegd en geanaliseerd, op basis daarvan krijg ik dingen te zien",4,4,4,4,4,Is niet duidelijk,2,4,3,2,4,Als ik merk dat jet niet werkt,2,2,2,3,2,,,,,"Heel belangrijk, mensen kiezen anders dan robots",3,Ik_log_nooit_in_op_NU_nl,5_tot_15_minuten,Ja,Alle_cookies_inclusief_marketing,61,2,2,2,4,4,,,348s,Mobile Phone,Safari 17.6.0,iOS,
1759,2024-11-01 15:11:04,1,1,1,1,1,aanbieden van nieuws wat mogelijk interessant is,"Werkt niet. Aangeboden "" persoonlijke aanbevelingen "" zijn meestal niet interessant",5,1,5,5,5,Aanbevolen berichten,5,5,5,5,5,vrijwel altijd. Kies graag zelf,1,1,1,1,1,,,,,Ik kies graag zelf op basis van actualiteit,1,Ik_blijf_meestal_ingelogd_tijden,30_tot_60_minuten,Nee,,55,5,5,3,3,3,,,325s,Mobile Phone,Firefox 132.0.0,Android,
1760,2024-11-01 15:01:53,1,1,3,1,1,Geen idee,"Als ik een bepaald soort nieuwsbericht lees, krijg ik meer van dat soort nieuwsberichten",3,2,4,3,4,Geen idee,1,5,3,1,5,Ik wil breed geïnformeerd worden en zelf bepalen of ik iets interessant vind of niet,1,1,1,1,1,,,,,Nee,3,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Weet_ik_niet,,50,5,5,5,5,5,,,305s,Mobile Phone,Safari 17.6.0,iOS,
